order_id,customer_id,order_date,amount,amount_cents,currency,order_status,payment_method,discount_amount,item_count
1032,777,2026-02-28,48.1,4810,MXN,paid,transfer,0.0,1
1033,28,2026-01-22,369.9,36990,COP,refunded,pse,0.0,1
1034,10,2026-02-26,233.9,23390,COP,paid,transfer,11.2,5
1035,11,2026-06-28,200.4,20040,USD,paid,paypal,0.0,3
1036,32,2026-06-15,47.9,4790,USD,paid,card,0.0,2
1037,20,2026-05-14,136.0,13600,COP,refunded,cash,29.0,1
1038,23,2026-02-24,269.7,26970,USD,paid,cash,0.0,3
1039,34,2026-05-22,293.4,29340,MXN,cancelled,pse,0.0,2
1040,31,2026-04-21,135.1,13510,MXN,paid,paypal,0.0,3
1041,25,2026-03-06,208.6,20860,MXN,pending,pse,0.0,5
1042,25,2026-03-21,293.1,29310,MXN,cancelled,card,0.0,5
1043,21,2026-02-23,110.7,11070,MXN,paid,pse,24.4,1
1044,48,2026-04-23,367.1,36710,COP,paid,transfer,0.0,2
1045,30,2026-02-20,223.0,22300,MXN,paid,card,0.0,1
1046,29,2026-05-01,364.2,36420,COP,paid,paypal,0.0,2
1047,19,2026-06-18,80.0,8000,USD,paid,pse,0.0,5
1048,30,2026-03-10,331.8,33180,MXN,paid,pse,21.5,4
1049,19,2026-01-13,27.9,2790,USD,paid,pse,28.7,4
1050,7,2026-04-17,104.2,10420,USD,refunded,pse,24.6,5
1051,33,2026-03-27,82.5,8250,USD,paid,pse,0.0,3
1052,44,2026-02-16,29.5,2950,COP,pending,cash,0.0,5
1053,20,2026-01-19,29.8,2980,COP,paid,transfer,0.0,4
1054,43,2026-04-27,309.0,30900,COP,paid,pse,0.0,3
1055,11,2026-06-04,165.4,16540,USD,paid,cash,0.0,2
1056,42,2026-06-14,213.2,21320,USD,paid,cash,0.0,2
1057,26,2026-05-16,116.3,11630,USD,cancelled,pse,0.0,3
1058,11,2026-03-20,304.6,30460,USD,pending,card,0.0,4
1059,45,2026-01-28,354.6,35460,COP,pending,pse,0.0,1
1060,20,2026-03-08,65.8,6580,COP,paid,cash,0.0,5
1061,36,2026-01-23,341.4,34140,MXN,paid,pse,0.0,2
1062,777,2026-01-24,90.7,9070,USD,pending,paypal,0.0,1
1063,999,2026-02-17,159.4,15940,MXN,paid,pse,0.0,2
1064,26,2026-02-05,269.3,26930,USD,paid,transfer,0.0,1
1065,39,2026-05-26,255.0,25500,USD,cancelled,transfer,0.0,4
1066,38,2026-02-27,350.5,35050,COP,paid,card,0.0,5
1067,40,2026-06-05,371.8,37180,USD,paid,transfer,0.0,2
1068,3,2026-03-18,148.6,14860,COP,refunded,transfer,24.5,4
1069,8,2026-05-08,266.1,26610,COP,paid,card,0.0,1
1070,31,2026-03-11,256.8,25680,MXN,paid,paypal,0.0,3
1071,46,2026-02-03,245.0,24500,COP,refunded,paypal,22.4,3
1072,28,2026-04-08,177.2,17720,COP,paid,pse,0.0,1
1073,44,2026-06-22,119.6,11960,COP,paid,card,0.0,3
1074,45,2026-04-21,290.5,29050,COP,paid,pse,0.0,1
1075,7,2026-02-09,95.0,9500,USD,refunded,cash,24.0,1
1076,15,2026-04-08,123.7,12370,USD,pending,cash,13.4,4
1077,13,2026-01-28,333.2,33320,COP,paid,card,0.0,5
1078,27,2026-04-23,245.6,24560,USD,paid,transfer,12.2,3
1079,777,2026-03-13,399.8,39980,USD,cancelled,paypal,0.0,4
1080,40,2026-03-08,236.9,23690,USD,paid,paypal,0.0,1
1081,49,2026-06-26,190.6,19060,COP,pending,cash,29.1,4
1082,2,2026-02-24,371.3,37130,COP,paid,pse,0.0,2
1083,40,2026-01-08,259.8,25980,USD,paid,transfer,0.0,1
1084,39,2026-04-05,81.7,8170,USD,refunded,transfer,0.0,2
1085,41,2026-02-26,71.2,7120,COP,cancelled,card,0.0,4
1086,7,2026-06-12,226.9,22690,USD,refunded,pse,0.0,4
1087,23,2026-02-19,143.0,14300,USD,paid,transfer,0.0,2
1088,6,2026-05-02,358.0,35800,MXN,cancelled,card,0.0,3
1089,23,2026-02-21,92.3,9230,USD,paid,card,0.0,2
1090,27,2026-04-11,226.2,22620,USD,paid,paypal,25.8,4
1091,950,2026-05-03,67.6,6760,MXN,paid,card,0.0,4
1092,16,2026-04-19,156.4,15640,USD,paid,card,0.0,3
1093,1,2026-05-14,55.4,5540,USD,paid,cash,0.0,1
1094,50,2026-01-28,269.2,26920,MXN,paid,transfer,14.2,4
1095,4,2026-06-21,147.2,14720,COP,paid,pse,22.0,3
1096,9,2026-01-02,135.7,13570,USD,pending,cash,10.9,5
1097,9,2026-01-10,368.6,36860,USD,paid,transfer,0.0,2
1098,29,2026-05-16,151.1,15110,COP,pending,transfer,0.0,4
1099,13,2026-02-24,204.0,20400,COP,cancelled,paypal,0.0,5
1100,8,2026-05-26,35.6,3560,COP,pending,card,0.0,3
1101,2,2026-01-09,87.9,8790,COP,paid,pse,19.9,3
1102,37,2026-03-13,228.2,22820,MXN,paid,transfer,0.0,2
1103,15,2026-01-12,341.2,34120,USD,paid,transfer,12.0,2
1104,28,2026-03-21,392.4,39240,COP,paid,paypal,20.9,3
1105,19,2026-02-02,320.6,32060,USD,paid,paypal,0.0,3
1106,30,2026-06-09,311.4,31140,MXN,paid,cash,0.0,1
1107,39,2026-01-01,97.7,9770,USD,paid,pse,0.0,3
1108,5,2026-06-08,371.1,37110,COP,refunded,transfer,0.0,2
1109,21,2026-03-25,354.3,35430,MXN,paid,pse,0.0,4
1110,28,2026-03-22,116.9,11690,COP,paid,card,0.0,4
1111,38,2026-05-21,142.5,14250,COP,paid,paypal,0.0,2
1112,49,2026-01-07,121.5,12150,COP,paid,transfer,0.0,4
1113,37,2026-01-25,307.4,30740,MXN,paid,pse,0.0,4
1114,34,2026-03-14,398.7,39870,MXN,pending,pse,0.0,4
1115,19,2026-03-24,177.9,17790,USD,paid,paypal,18.5,3
1116,50,2026-01-15,177.5,17750,MXN,refunded,transfer,0.0,4
1117,46,2026-05-05,124.2,12420,COP,paid,transfer,0.0,2
1118,36,2026-01-17,380.3,38030,MXN,paid,cash,15.2,5
1119,47,2026-03-25,377.7,37770,COP,pending,paypal,6.3,2
1120,43,2026-04-09,23.1,2310,COP,refunded,paypal,0.0,1
1121,19,2026-05-10,153.6,15360,USD,pending,transfer,0.0,2
1122,41,2026-04-23,115.0,11500,COP,paid,card,14.6,4
1123,777,2026-05-05,278.0,27800,USD,paid,transfer,0.0,1
1124,44,2026-06-19,204.9,20490,COP,refunded,transfer,0.0,2
1125,21,2026-01-01,209.0,20900,MXN,paid,paypal,14.5,2
1126,4,2026-02-14,262.8,26280,COP,refunded,transfer,0.0,1
1127,21,2026-01-10,156.2,15620,MXN,paid,cash,18.3,5
1128,7,2026-01-19,128.0,12800,USD,paid,card,0.0,2
1129,9,2026-03-20,260.6,26060,USD,pending,paypal,0.0,4
1130,26,2026-03-24,149.0,14900,USD,paid,paypal,0.0,1
1131,900,2026-03-23,189.6,18960,USD,refunded,transfer,0.0,2
1132,18,2026-02-05,225.3,22530,USD,paid,card,26.7,2
1133,40,2026-05-25,203.7,20370,USD,paid,pse,0.0,5
1134,6,2026-02-22,138.0,13800,MXN,paid,paypal,6.2,4
1135,15,2026-02-26,384.0,38400,USD,pending,cash,0.0,5
1136,30,2026-06-01,43.1,4310,MXN,paid,card,0.0,4
1137,5,2026-03-25,320.2,32020,COP,paid,pse,0.0,5
1138,42,2026-01-21,333.1,33310,USD,cancelled,card,0.0,4
1139,30,2026-06-10,285.9,28590,MXN,paid,transfer,0.0,4
1140,4,2026-05-18,233.4,23340,COP,refunded,card,13.8,4
1141,24,2026-02-01,141.1,14110,MXN,paid,cash,0.0,3
1142,32,2026-06-10,213.4,21340,USD,paid,transfer,0.0,4
1143,6,2026-04-28,60.2,6020,MXN,paid,card,0.0,5
1144,12,2026-03-23,309.7,30970,COP,paid,cash,0.0,2
1145,47,2026-06-20,351.8,35180,COP,paid,pse,21.6,3
1146,38,2026-06-24,78.7,7870,COP,paid,paypal,0.0,4
1147,5,2026-03-15,191.7,19170,COP,paid,card,0.0,3
1148,17,2026-04-04,332.4,33240,COP,paid,card,0.0,5
1149,27,2026-03-11,274.7,27470,USD,paid,pse,0.0,4
1150,42,2026-01-20,245.8,24580,USD,paid,card,0.0,5
1151,13,2026-04-22,377.3,37730,COP,refunded,paypal,0.0,2
1152,3,2026-06-13,392.8,39280,COP,paid,card,0.0,3
1153,28,2026-05-17,63.9,6390,COP,pending,card,6.1,4
1154,33,2026-03-22,175.2,17520,USD,paid,cash,0.0,5
1155,42,2026-06-20,142.8,14280,USD,refunded,card,0.0,4
1156,7,2026-06-23,351.6,35160,USD,paid,card,12.5,1
1157,42,2026-06-22,168.9,16890,USD,pending,pse,0.0,1
1158,39,2026-05-01,260.1,26010,USD,pending,card,8.6,4
1159,19,2026-03-04,50.4,5040,USD,refunded,paypal,0.0,4
1160,29,2026-05-21,91.5,9150,COP,refunded,card,0.0,2
1161,40,2026-02-12,161.7,16170,USD,paid,paypal,0.0,3
1162,32,2026-02-12,323.2,32320,USD,paid,pse,0.0,5
1163,888,2026-01-08,315.8,31580,USD,paid,transfer,0.0,5
1164,22,2026-03-18,50.6,5060,COP,paid,card,22.3,2
1165,36,2026-06-26,154.6,15460,MXN,paid,transfer,0.0,1
1166,22,2026-04-07,106.1,10610,COP,paid,paypal,12.4,1
1167,6,2026-06-14,50.0,5000,MXN,refunded,paypal,0.0,2
1168,3,2026-04-12,277.0,27700,COP,paid,pse,0.0,5
1169,888,2026-06-23,372.4,37240,COP,refunded,pse,0.0,5
1170,30,2026-04-02,91.3,9130,MXN,paid,transfer,0.0,4
1171,900,2026-06-12,289.6,28960,MXN,pending,pse,0.0,3
1172,24,2026-06-19,394.1,39410,MXN,paid,paypal,0.0,4
1173,19,2026-01-27,93.8,9380,USD,paid,card,0.0,3
1174,6,2026-02-22,337.7,33770,MXN,pending,pse,0.0,1
1175,21,2026-04-20,329.7,32970,MXN,pending,transfer,0.0,5
1176,8,2026-01-21,251.4,25140,COP,paid,paypal,0.0,3
1177,46,2026-04-06,282.1,28210,COP,paid,paypal,0.0,3
1178,888,2026-01-07,321.0,32100,USD,paid,card,0.0,3
1179,41,2026-02-09,271.0,27100,COP,paid,card,18.8,2
1180,34,2026-04-01,294.5,29450,MXN,paid,card,0.0,2
1181,21,2026-02-27,375.2,37520,MXN,paid,transfer,0.0,2
1182,37,2026-05-22,164.0,16400,MXN,paid,cash,0.0,3
1183,1,2026-03-24,133.5,13350,USD,pending,cash,0.0,4
1184,24,2026-06-27,194.7,19470,MXN,paid,pse,0.0,5
1185,999,2026-05-12,197.6,19760,COP,pending,paypal,0.0,1
1186,6,2026-04-01,304.6,30460,MXN,paid,cash,0.0,3
1187,31,2026-06-06,270.4,27040,MXN,paid,pse,0.0,5
1188,37,2026-06-13,46.4,4640,MXN,cancelled,card,0.0,1
1189,4,2026-03-08,395.8,39580,COP,pending,cash,25.7,5
1190,2,2026-05-05,110.6,11060,COP,paid,cash,0.0,5
1191,15,2026-04-23,112.5,11250,USD,refunded,paypal,0.0,4
1192,42,2026-02-02,114.1,11410,USD,paid,paypal,0.0,5
1193,34,2026-04-06,330.4,33040,MXN,refunded,pse,11.3,4
1194,41,2026-01-17,213.8,21380,COP,cancelled,cash,0.0,2
1195,42,2026-01-25,383.8,38380,USD,paid,cash,0.0,2
1196,11,2026-02-03,251.6,25160,USD,paid,transfer,0.0,2
1197,27,2026-03-07,306.9,30690,USD,paid,pse,0.0,1
1198,24,2026-01-17,226.8,22680,MXN,pending,transfer,0.0,4
1199,34,2026-03-15,212.1,21210,MXN,paid,cash,22.5,5
